MidnaPeach Messaging`people!`#first true first
PepperPotts @TonyStark`:`Why`aren't`you`home`yet? false NULL
TonyStark @PepperPotts`:`I'm`picking`something`up`for`you,`Miss`Potts,`be`patient. false NULL
THOR MAN`OF`IRON`HELLO1 true NULL
TonyStark Thor,`what's`with`the`caps? true NULL
CaptAmerica What?`I'm`right`here. true NULL
TonyStark No,`not`you`Capsicle,`capslock.`Thor,`why`do`you`have`caps`lock`on? true NULL
Dr.Banner I`think`that`is`just`how`he`talks... true NULL
PepperPotts Tony,`leave`Thor`alone.`He's`learning-`be`nice`to`him.`Not`everyone`is`as`technically`savvy`as`you`are,`you`know. true NULL
TonyStark Ease`up,`Pep.`I`know`that.`You`have`to`relax,`Miss`Potts. true NULL
THOR VIRGINIA,`IT`IS`OKAY.`I`WOULD`LIKE`TO`SHOW`MY`BROTHER`THIS. true NULL
CaptAmerica @TonyStark`:`You`think`you're`so`clever,`huh. false NULL
Jarvis Thor,`sir,`that`is`a`terrible`idea.`I`highly`suggest`we`do`not`take`that`particular`course`of`action. true NULL
CaptAmerica I've`honestly`got`to`agree`there,`Jarvis. true NULL
TonyStark Thor`no.`#badidea true badidea
Dr.Banner #awfulidea true awfulidea
