Frozone Where`is`my`super`suit!? true suit
Jarvis You`have`an`incoming`message. false NULL
Frozone I`found`my`super`suit`lol true NULL
midnapeach Tony`Stark`is`sooo`handsome!`*fangirls*`#tonystark false tonystark
dai1313 this`#is`a`good`time`to`#hope`this`works true is,hope
midnapeach this`is`a`public`test`message`#test true test
midnapeach @dai1313`:`hey`yo.`#testagain false testagain
midnapeach Nothing`much.`Thanks`messager. true NULL
MidnaPeach Tony`Stark.`Tony`Stark`is`on`my`mind.`Pepper`better`hold`tight.`#tonystark false tonystark
MidnaPeach sup`tester true NULL
MidnaPeach just`testing`some`more.`#supertest true supertest
MidnaPeach @dai1313`:`hey`yo true NULL
